rank,rider,team,b,p,year,distance_km,number_of_stages,time_sec,time_gap_to_winner_sec,result_type
1,MAURICE GARIN,,,,1903,2428,6,340394,0,time
2,LUCIEN POTHIER,,,,1903,2428,6,351155,10761,time
3,FERNAND AUGEREAU,,,,1903,2428,6,356558,16164,time
4,RODOLPHE MULLER,,,,1903,2428,6,357164,16770,time
5,JEAN-BAPTISTE FISCHER,,,,1903,2428,6,358918,18524,time
6,MARCEL KERFF,,,,1903,2428,6,365858,25464,time
7,DIT SAMSON JULIEN LOOTENS,,,,1903,2428,6,374782,34388,time
8,GEORGES PASQUIER,,,,1903,2428,6,381558,41164,time
9,FRANÇOIS BEAUGENDRE,,,,1903,2428,6,383248,42854,time
10,ALOIS CATTEAU,,,,1903,2428,6,390011,49617,time
11,JEAN DARGASSIES,,,,1903,2428,6,393905,53511,time
12,FERDINAND PAYAN,,,,1903,2428,6,395067,54673,time
13,JULIEN GIRBE,,,,1903,2428,6,409937,69543,time
14,ISIDORE LE CHARTIER,,,,1903,2428,6,412838,72444,time
15,JOSEF FISCHER,,,,1903,2428,6,416991,76597,time
16,ALEXANDRE FOUREAUX,,,,1903,2428,6,440777,100383,time
17,RENÉ SALAIS,,,,1903,2428,6,443408,103014,time
18,EMILE MOULIN,,,,1903,2428,6,505000,164606,time
19,GEORGES BOROT,,,,1903,2428,6,511874,171480,time
20,PIERRE DESVAGES,,,,1903,2428,6,552450,0,time
21,ARSÈNE MILLOCHEAU,,,,1903,2428,6,559844,0,time
1,HENRI CORNET (GEBOREN JARDY),,,,1904,2428,6,345955,0,time
2,JEAN-BAPTISTE DORTIGNACQ,,,,1904,2428,6,354129,8174,time
3,ALOIS CATTEAU,,,,1904,2428,6,378440,32485,time
4,JEAN DARGASSIES,,,,1904,2428,6,385825,39870,time
5,JULIEN MAITRON,,,,1904,2428,6,407530,61575,time
6,AUGUSTE DAUMAIN,,,,1904,2428,6,420631,74676,time
7,LOUIS COLSAET,,,,1904,2428,6,424215,78260,time
8,ACHILLE COLAS,,,,1904,2428,6,429345,83390,time
9,RENÉ SAGET,,,,1904,2428,6,432071,86116,time
10,GUSTAVE DRIOUL,,,,1904,2428,6,450034,104079,time
11,HENRI PARET,,,,1904,2428,6,455064,109109,time
12,AUGUSTE GAUTHIER,,,,1904,2428,6,458387,112432,time
13,AUGUSTE RIST,,,,1904,2428,6,464825,118870,time
14,NICOLAS DAMELINCOURT,,,,1904,2428,6,513888,167933,time
15,ANTOINE DEFLOTRIERE,,,,1904,2428,6,707677,0,time
1,LOUIS TROUSSELIER,,,,1905,2994,11,0,0,
2,HIPPOLYTE AUCOUTURIER,,,,1905,2994,11,0,0,
3,JEAN-BAPTISTE DORTIGNACQ,,,,1905,2994,11,0,0,
4,EMILE GEORGET,,,,1905,2994,11,0,0,
5,LUCIEN MAZAN DIT PETIT-BRETON,,,,1905,2994,11,0,0,
6,AUGUSTINN RINGEVAL,,,,1905,2994,11,0,0,
7,PAUL CHAUVET,,,,1905,2994,11,0,0,
8,PHILIPPE PAUTRAT,,,,1905,2994,11,0,0,
9,JULIEN GABORY,,,,1905,2994,11,0,0,
10,JULIEN MAITRON,,,,1905,2994,11,0,0,
11,ALOIS CATTEAU,,,,1905,2994,11,0,0,
12,MARTIN SOULIE,,,,1905,2994,11,0,0,
13,LÉON LEYGOUTTE,,,,1905,2994,11,0,0,
14,CAMILLE FILY,,,,1905,2994,11,0,0,
15,ANTOINE WATTELIER,,,,1905,2994,11,0,0,
16,HENRI LIGNON,,,,1905,2994,11,0,0,
17,MAURICE DECAUP,,,,1905,2994,11,0,0,
18,MAURICE CARRERE,,,,1905,2994,11,0,0,
19,GUSTAVE GUILLARME,,,,1905,2994,11,0,0,
20,LUDO LOOS,,,,1905,2994,11,0,0,
21,PINCHAU,,,,1905,2994,11,0,0,
22,EUGÈNE VENTRESQUE,,,,1905,2994,11,0,0,
23,FERNAND LALLEMENT,,,,1905,2994,11,0,0,
24,CLOVIS LACROIX,,,,1905,2994,11,0,0,
1,RENÉ POTTIER,,,,1906,4637,14,0,0,
2,GEORGES PASSERIEU,,,,1906,4637,14,0,0,
3,LOUIS TROUSSELIER,,,,1906,4637,14,0,0,
4,LUCIEN MAZAN DIT PETIT-BRETON,,,,1906,4637,14,0,0,
5,EMILE GEORGET,,,,1906,4637,14,0,0,
6,ALOIS CATTEAU,,,,1906,4637,14,0,0,
7,EDOUARD WATTELIER,,,,1906,4637,14,0,0,
8,LÉON GEORGET,,,,1906,4637,14,0,0,
9,EUGÈNE CHRISTOPHE,,,,1906,4637,14,0,0,
10,ANTOINE WATTELIER,,,,1906,4637,14,0,0,
11,GEORGES FLEURY,,,,1906,4637,14,0,0,
12,FERDINAND PAYAN,,,,1906,4637,14,0,0,
13,LÉON WINANT,,,,1906,4637,14,0,0,
14,GEORGES BRONCHARD,,,,1906,4637,14,0,0,
1,LUCIEN MAZAN DIT PETIT-BRETON,,,,1907,4488,14,169200,0,points
2,GUSTAVE GARRIGOU,,,,1907,4488,14,237600,0,points
3,EMILE GEORGET,,,,1907,4488,14,266400,0,points
4,GEORGES PASSERIEU,,,,1907,4488,14,306000,0,points
5,FRANÇOIS BEAUGENDRE,,,,1907,4488,14,442800,0,points
6,EBERADO PAVESI,,,,1907,4488,14,540000,0,points
7,FRANÇOIS FABER,,,,1907,4488,14,561600,0,points
8,AUGUSTINN RINGEVAL,,,,1907,4488,14,662400,0,points
9,ALOIS CATTEAU,,,,1907,4488,14,680400,0,points
10,FERDINAND PAYAN,,,,1907,4488,14,817200,0,points
11,PIERRE PRIVAT,,,,1907,4488,14,903600,0,points
12,GEORGES FLEURY,,,,1907,4488,14,986400,0,points
13,FRANÇOIS LAFOURCADE,,,,1907,4488,14,1076400,0,points
14,MARIUS VILETTE,,,,1907,4488,14,1198800,0,points
15,ALZIR VIVIER,,,,1907,4488,14,1224000,0,points
16,GASTON TUVACHE,,,,1907,4488,14,1252800,0,points
17,EUGÈNE DELHAYE,,,,1907,4488,14,1360800,0,points
18,BAPTISTE ROUX,,,,1907,4488,14,1400400,0,points
19,PHILIPPE PAUTRAT,,,,1907,4488,14,1414800,0,points
20,HENRI TIMMERMANN,,,,1907,4488,14,1479600,0,points
21,GEORGES BRONCHARD,,,,1907,4488,14,1490400,0,points
22,MARCEAU NARCY,,,,1907,4488,14,1497600,0,points
23,HONORÉ GENIN,,,,1907,4488,14,1562400,0,points
24,EDOUARD WATTELIER,,,,1907,4488,14,1569600,0,points
25,ALBERT BAUDET,,,,1907,4488,14,1580400,0,points
26,ALFRED LE BARS,,,,1907,4488,14,1724400,0,points
27,ALFRED QUENON,,,,1907,4488,14,1753200,0,points
28,LOUIS LORILLON,,,,1907,4488,14,1767600,0,points
29,RENÉ FLEURY,,,,1907,4488,14,1782000,0,points
30,OCTAVE NOEL,,,,1907,4488,14,1818000,0,points
31,ALBERT GERAUD,,,,1907,4488,14,1854000,0,points
32,MARCEL DOZOL,,,,1907,4488,14,1879200,0,points
33,ALBERT CHARTIER,,,,1907,4488,14,2044800,0,points
1,LUCIEN MAZAN DIT PETIT-BRETON,,,,1908,4488,15,0,0,
2,FRANÇOIS FABER,,,,1908,4488,15,0,0,
3,GEORGES PASSERIEU,,,,1908,4488,15,0,0,
4,GUSTAVE GARRIGOU,,,,1908,4488,15,0,0,
5,LUIGI GANNA,,,,1908,4488,15,0,0,
6,GEORGES PAULMIER,,,,1908,4488,15,0,0,
7,GEORGES FLEURY,,,,1908,4488,15,0,0,
8,HENRI CORNET (GEBOREN JARDY),,,,1908,4488,15,0,0,
9,MARCEL GODIVIER,,,,1908,4488,15,0,0,
10,GIOVANNI ROSSIGNOLI,,,,1908,4488,15,0,0,
11,PAUL DUBOC,,,,1908,4488,15,0,0,
12,CLEMENTE CANEPARI,,,,1908,4488,15,0,0,
13,OMER BEAUGENDRE,,,,1908,4488,15,0,0,
14,PAUL CHAUVET,,,,1908,4488,15,0,0,
15,EUGÈNE FORESTIER,,,,1908,4488,15,0,0,
16,ACHILLE GERMAIN,,,,1908,4488,15,0,0,
17,ANDRÉ POTTIER,,,,1908,4488,15,0,0,
18,"ERNEST, DIT ''FABER ERNEST'' PAUL",,,,1908,4488,15,0,0,
19,ALDO BETTINI,,,,1908,4488,15,0,0,
20,GIOVANNI GERBI,,,,1908,4488,15,0,0,
21,ALOIS CATTEAU,,,,1908,4488,15,0,0,
22,MARCEAU NARCY,,,,1908,4488,15,0,0,
23,MARTIN SOULIE,,,,1908,4488,15,0,0,
24,FERDINAND PAYAN,,,,1908,4488,15,0,0,
25,NOËL COMBELLES,,,,1908,4488,15,0,0,
26,GONZALES,,,,1908,4488,15,0,0,
27,ALEXANDRE BODINIER,,,,1908,4488,15,0,0,
28,EDOUARD WATTELIER,,,,1908,4488,15,0,0,
29,GEORGES BRONCHARD,,,,1908,4488,15,0,0,
30,ROBERT LECOINTE,,,,1908,4488,15,0,0,
31,ANTOINE WATTELIER,,,,1908,4488,15,0,0,
32,ELOI GUICHARD,,,,1908,4488,15,0,0,
33,LÉON RABOT,,,,1908,4488,15,0,0,
34,JEAN DARCHE,,,,1908,4488,15,0,0,
35,LOUIS DI MARIA,,,,1908,4488,15,0,0,
36,HENRI ANTHOINE,,,,1908,4488,15,0,0,
1,FRANÇOIS FABER,,,,1909,4497,14,133200,0,points
2,GUSTAVE GARRIGOU,,,,1909,4497,14,205200,0,points
3,JEAN ALAVOINE,,,,1909,4497,14,237600,0,points
4,PAUL DUBOC,,,,1909,4497,14,252000,0,points
5,CYRILLE VAN HAUWAERT,,,,1909,4497,14,331200,0,points
6,"ERNEST, DIT ''FABER ERNEST'' PAUL",,,,1909,4497,14,342000,0,points
7,CONSTANT MENAGER,,,,1909,4497,14,367200,0,points
8,LOUIS TROUSSELIER,,,,1909,4497,14,410400,0,points
9,EUGÈNE CHRISTOPHE,,,,1909,4497,14,500400,0,points
10,ALDO BETTINI,,,,1909,4497,14,511200,0,points
11,JULIEN MAITRON,,,,1909,4497,14,532800,0,points
12,GEORGES FLEURY,,,,1909,4497,14,547200,0,points
13,ALFRED FAURE,,,,1909,4497,14,738000,0,points
14,MARIO GAJONI,,,,1909,4497,14,756000,0,points
15,ATTILIO ZAVATTI,,,,1909,4497,14,867600,0,points
16,JULES DELOFFRE,,,,1909,4497,14,907200,0,points
17,JOSEPH HABIERRE,,,,1909,4497,14,1065600,0,points
18,ILDEBRANDO GAMBERINI,,,,1909,4497,14,1098000,0,points
19,ALFRED LE BARS,,,,1909,4497,14,1141200,0,points
20,EMILE LACHAISE,,,,1909,4497,14,1177200,0,points
21,LUCIEN LEMAN,,,,1909,4497,14,1227600,0,points
22,LÉON RABOT,,,,1909,4497,14,1234800,0,points
23,GEORGES OUDIN,,,,1909,4497,14,1242000,0,points
24,AMÉDÉE DUTIRON,,,,1909,4497,14,1263600,0,points
26,PIERRE LANGLADE,,,,1909,4497,14,1454400,0,points
27,ANGELO MAGNANOLI,,,,1909,4497,14,1465200,0,points
28,ANTOINE WATTELIER,,,,1909,4497,14,1479600,0,points
29,ALFRED VAIDIS,,,,1909,4497,14,1620000,0,points
30,HENRI ALAVOINE,,,,1909,4497,14,1681200,0,points
31,PAUL BOILLAT,,,,1909,4497,14,1695600,0,points
32,AMLETO BELLONI,,,,1909,4497,14,1717200,0,points
33,RENÉ CHAUDE,,,,1909,4497,14,1724400,0,points
34,JOSEPH LEBLANC,,,,1909,4497,14,1731600,0,points
35,AUGUSTE DENIZOT,,,,1909,4497,14,1742400,0,points
36,AUGUSTE DUFOUR,,,,1909,4497,14,1767600,0,points
37,ANTOINE FAURE,,,,1909,4497,14,1782000,0,points
38,ALBERT LAGARNIER,,,,1909,4497,14,1864800,0,points
