flag_symbol,html_code,country
🇦🇨,&#127462&#127464,Ascension Island
🇦🇩,&#127462&#127465,Andorra
🇦🇪,&#127462&#127466,United Arab Emirates
🇦🇫,&#127462&#127467,Afghanistan
🇦🇬,&#127462&#127468,Antigua & Barbuda
🇦🇮,&#127462&#127470,Anguilla
🇦🇱,&#127462&#127473,Albania
🇦🇲,&#127462&#127474,Armenia
🇦🇴,&#127462&#127476,Angola
🇦🇶,&#127462&#127478,Antarctica
🇦🇷,&#127462&#127479,Argentina
🇦🇸,&#127462&#127480,American Samoa
🇦🇹,&#127462&#127481,Austria
🇦🇺,&#127462&#127482,Australia
🇦🇼,&#127462&#127484,Aruba
🇦🇽,&#127462&#127485,Åland Islands
🇦🇿,&#127462&#127487,Azerbaijan
🇧🇦,&#127463&#127462,Bosnia & Herzegovina
🇧🇧,&#127463&#127463,Barbados
🇧🇩,&#127463&#127465,Bangladesh
🇧🇪,&#127463&#127466,Belgium
🇧🇫,&#127463&#127467,Burkina Faso
🇧🇬,&#127463&#127468,Bulgaria
🇧🇭,&#127463&#127469,Bahrain
🇧🇮,&#127463&#127470,Burundi
🇧🇯,&#127463&#127471,Benin
🇧🇱,&#127463&#127473,St. Barthélemy
🇧🇲,&#127463&#127474,Bermuda
🇧🇳,&#127463&#127475,Brunei
🇧🇴,&#127463&#127476,Bolivia
🇧🇶,&#127463&#127478,Caribbean Netherlands
🇧🇷,&#127463&#127479,Brazil
🇧🇸,&#127463&#127480,Bahamas
🇧🇹,&#127463&#127481,Bhutan
🇧🇻,&#127463&#127483,Bouvet Island
🇧🇼,&#127463&#127484,Botswana
🇧🇾,&#127463&#127486,Belarus
🇧🇿,&#127463&#127487,Belize
🇨🇦,&#127464&#127462,Canada
🇨🇨,&#127464&#127464,Cocos (Keeling) Islands
🇨🇩,&#127464&#127465,Congo - Kinshasa
🇨🇫,&#127464&#127467,Central African Republic
🇨🇬,&#127464&#127468,Congo - Brazzaville
🇨🇭,&#127464&#127469,Switzerland
🇨🇮,&#127464&#127470,Côte d’Ivoire
🇨🇰,&#127464&#127472,Cook Islands
🇨🇱,&#127464&#127473,Chile
🇨🇲,&#127464&#127474,Cameroon
🇨🇳,&#127464&#127475,China
🇨🇴,&#127464&#127476,Colombia
🇨🇵,&#127464&#127477,Clipperton Island
🇨🇷,&#127464&#127479,Costa Rica
🇨🇺,&#127464&#127482,Cuba
🇨🇻,&#127464&#127483,Cape Verde
🇨🇼,&#127464&#127484,Curaçao
🇨🇽,&#127464&#127485,Christmas Island
🇨🇾,&#127464&#127486,Cyprus
🇨🇿,&#127464&#127487,Czechia
🇩🇪,&#127465&#127466,Germany
🇩🇬,&#127465&#127468,Diego Garcia
🇩🇯,&#127465&#127471,Djibouti
🇩🇰,&#127465&#127472,Denmark
🇩🇲,&#127465&#127474,Dominica
🇩🇴,&#127465&#127476,Dominican Republic
🇩🇿,&#127465&#127487,Algeria
🇪🇦,&#127466&#127462,Ceuta & Melilla
🇪🇨,&#127466&#127464,Ecuador
🇪🇪,&#127466&#127466,Estonia
🇪🇬,&#127466&#127468,Egypt
🇪🇭,&#127466&#127469,Western Sahara
🇪🇷,&#127466&#127479,Eritrea
🇪🇸,&#127466&#127480,Spain
🇪🇹,&#127466&#127481,Ethiopia
🇪🇺,&#127466&#127482,European Union
🇫🇮,&#127467&#127470,Finland
🇫🇯,&#127467&#127471,Fiji
🇫🇰,&#127467&#127472,Falkland Islands
🇫🇲,&#127467&#127474,Micronesia
🇫🇴,&#127467&#127476,Faroe Islands
🇫🇷,&#127467&#127479,France
🇬🇦,&#127468&#127462,Gabon
🇬🇧,&#127468&#127463,United Kingdom
🇬🇩,&#127468&#127465,Grenada
🇬🇪,&#127468&#127466,Georgia
🇬🇫,&#127468&#127467,French Guiana
🇬🇬,&#127468&#127468,Guernsey
🇬🇭,&#127468&#127469,Ghana
🇬🇮,&#127468&#127470,Gibraltar
🇬🇱,&#127468&#127473,Greenland
🇬🇲,&#127468&#127474,Gambia
🇬🇳,&#127468&#127475,Guinea
🇬🇵,&#127468&#127477,Guadeloupe
🇬🇶,&#127468&#127478,Equatorial Guinea
🇬🇷,&#127468&#127479,Greece
🇬🇸,&#127468&#127480,South Georgia & South Sandwich Islands
🇬🇹,&#127468&#127481,Guatemala
🇬🇺,&#127468&#127482,Guam
🇬🇼,&#127468&#127484,Guinea-Bissau
🇬🇾,&#127468&#127486,Guyana
🇭🇰,&#127469&#127472,Hong Kong SAR China
🇭🇲,&#127469&#127474,Heard & McDonald Islands
🇭🇳,&#127469&#127475,Honduras
🇭🇷,&#127469&#127479,Croatia
🇭🇹,&#127469&#127481,Haiti
🇭🇺,&#127469&#127482,Hungary
🇮🇨,&#127470&#127464,Canary Islands
🇮🇩,&#127470&#127465,Indonesia
🇮🇪,&#127470&#127466,Ireland
🇮🇱,&#127470&#127473,Israel
🇮🇲,&#127470&#127474,Isle of Man
🇮🇳,&#127470&#127475,India
🇮🇴,&#127470&#127476,British Indian Ocean Territory
🇮🇶,&#127470&#127478,Iraq
🇮🇷,&#127470&#127479,Iran
🇮🇸,&#127470&#127480,Iceland
🇮🇹,&#127470&#127481,Italy
🇯🇪,&#127471&#127466,Jersey
🇯🇲,&#127471&#127474,Jamaica
🇯🇴,&#127471&#127476,Jordan
🇯🇵,&#127471&#127477,Japan
🇰🇪,&#127472&#127466,Kenya
🇰🇬,&#127472&#127468,Kyrgyzstan
🇰🇭,&#127472&#127469,Cambodia
🇰🇮,&#127472&#127470,Kiribati
🇰🇲,&#127472&#127474,Comoros
🇰🇳,&#127472&#127475,St. Kitts & Nevis
🇰🇵,&#127472&#127477,North Korea
🇰🇷,&#127472&#127479,South Korea
🇰🇼,&#127472&#127484,Kuwait
🇰🇾,&#127472&#127486,Cayman Islands
🇰🇿,&#127472&#127487,Kazakhstan
🇱🇦,&#127473&#127462,Laos
🇱🇧,&#127473&#127463,Lebanon
🇱🇨,&#127473&#127464,St. Lucia
🇱🇮,&#127473&#127470,Liechtenstein
🇱🇰,&#127473&#127472,Sri Lanka
🇱🇷,&#127473&#127479,Liberia
🇱🇸,&#127473&#127480,Lesotho
🇱🇹,&#127473&#127481,Lithuania
🇱🇺,&#127473&#127482,Luxembourg
🇱🇻,&#127473&#127483,Latvia
🇱🇾,&#127473&#127486,Libya
🇲🇦,&#127474&#127462,Morocco
🇲🇨,&#127474&#127464,Monaco
🇲🇩,&#127474&#127465,Moldova
🇲🇪,&#127474&#127466,Montenegro
🇲🇫,&#127474&#127467,St. Martin
🇲🇬,&#127474&#127468,Madagascar
🇲🇭,&#127474&#127469,Marshall Islands
🇲🇰,&#127474&#127472,Macedonia
🇲🇱,&#127474&#127473,Mali
🇲🇲,&#127474&#127474,Myanmar (Burma)
🇲🇳,&#127474&#127475,Mongolia
🇲🇴,&#127474&#127476,Macao SAR China
🇲🇵,&#127474&#127477,Northern Mariana Islands
🇲🇶,&#127474&#127478,Martinique
🇲🇷,&#127474&#127479,Mauritania
🇲🇸,&#127474&#127480,Montserrat
🇲🇹,&#127474&#127481,Malta
🇲🇺,&#127474&#127482,Mauritius
🇲🇻,&#127474&#127483,Maldives
🇲🇼,&#127474&#127484,Malawi
🇲🇽,&#127474&#127485,Mexico
🇲🇾,&#127474&#127486,Malaysia
🇲🇿,&#127474&#127487,Mozambique
🇳🇦,&#127475&#127462,Namibia
🇳🇨,&#127475&#127464,New Caledonia
🇳🇪,&#127475&#127466,Niger
🇳🇫,&#127475&#127467,Norfolk Island
🇳🇬,&#127475&#127468,Nigeria
🇳🇮,&#127475&#127470,Nicaragua
🇳🇱,&#127475&#127473,Netherlands
🇳🇴,&#127475&#127476,Norway
🇳🇵,&#127475&#127477,Nepal
🇳🇷,&#127475&#127479,Nauru
🇳🇺,&#127475&#127482,Niue
🇳🇿,&#127475&#127487,New Zealand
🇴🇲,&#127476&#127474,Oman
🇵🇦,&#127477&#127462,Panama
🇵🇪,&#127477&#127466,Peru
🇵🇫,&#127477&#127467,French Polynesia
🇵🇬,&#127477&#127468,Papua New Guinea
🇵🇭,&#127477&#127469,Philippines
🇵🇰,&#127477&#127472,Pakistan
🇵🇱,&#127477&#127473,Poland
🇵🇲,&#127477&#127474,St. Pierre & Miquelon
🇵🇳,&#127477&#127475,Pitcairn Islands
🇵🇷,&#127477&#127479,Puerto Rico
🇵🇸,&#127477&#127480,Palestinian Territories
🇵🇹,&#127477&#127481,Portugal
🇵🇼,&#127477&#127484,Palau
🇵🇾,&#127477&#127486,Paraguay
🇶🇦,&#127478&#127462,Qatar
🇷🇪,&#127479&#127466,Réunion
🇷🇴,&#127479&#127476,Romania
🇷🇸,&#127479&#127480,Serbia
🇷🇺,&#127479&#127482,Russia
🇷🇼,&#127479&#127484,Rwanda
🇸🇦,&#127480&#127462,Saudi Arabia
🇸🇧,&#127480&#127463,Solomon Islands
🇸🇨,&#127480&#127464,Seychelles
🇸🇩,&#127480&#127465,Sudan
🇸🇪,&#127480&#127466,Sweden
🇸🇬,&#127480&#127468,Singapore
🇸🇭,&#127480&#127469,St. Helena
🇸🇮,&#127480&#127470,Slovenia
🇸🇯,&#127480&#127471,Svalbard & Jan Mayen
🇸🇰,&#127480&#127472,Slovakia
🇸🇱,&#127480&#127473,Sierra Leone
🇸🇲,&#127480&#127474,San Marino
🇸🇳,&#127480&#127475,Senegal
🇸🇴,&#127480&#127476,Somalia
🇸🇷,&#127480&#127479,Suriname
🇸🇸,&#127480&#127480,South Sudan
🇸🇹,&#127480&#127481,São Tomé & Príncipe
🇸🇻,&#127480&#127483,El Salvador
🇸🇽,&#127480&#127485,Sint Maarten
🇸🇾,&#127480&#127486,Syria
🇸🇿,&#127480&#127487,Eswatini
🇹🇦,&#127481&#127462,Tristan da Cunha
🇹🇨,&#127481&#127464,Turks & Caicos Islands
🇹🇩,&#127481&#127465,Chad
🇹🇫,&#127481&#127467,French Southern Territories
🇹🇬,&#127481&#127468,Togo
🇹🇭,&#127481&#127469,Thailand
🇹🇯,&#127481&#127471,Tajikistan
🇹🇰,&#127481&#127472,Tokelau
🇹🇱,&#127481&#127473,Timor-Leste
🇹🇲,&#127481&#127474,Turkmenistan
🇹🇳,&#127481&#127475,Tunisia
🇹🇴,&#127481&#127476,Tonga
🇹🇷,&#127481&#127479,Turkey
🇹🇹,&#127481&#127481,Trinidad & Tobago
🇹🇻,&#127481&#127483,Tuvalu
🇹🇼,&#127481&#127484,Taiwan
🇹🇿,&#127481&#127487,Tanzania
🇺🇦,&#127482&#127462,Ukraine
🇺🇬,&#127482&#127468,Uganda
🇺🇲,&#127482&#127474,U.S. Outlying Islands
🇺🇳,&#127482&#127475,United Nations
🇺🇸,&#127482&#127480,United States
🇺🇾,&#127482&#127486,Uruguay
🇺🇿,&#127482&#127487,Uzbekistan
🇻🇦,&#127483&#127462,Vatican City
🇻🇨,&#127483&#127464,St. Vincent & Grenadines
🇻🇪,&#127483&#127466,Venezuela
🇻🇬,&#127483&#127468,British Virgin Islands
🇻🇮,&#127483&#127470,U.S. Virgin Islands
🇻🇳,&#127483&#127475,Vietnam
🇻🇺,&#127483&#127482,Vanuatu
🇼🇫,&#127484&#127467,Wallis & Futuna
🇼🇸,&#127484&#127480,Samoa
🇽🇰,&#127485&#127472,Kosovo
🇾🇪,&#127486&#127466,Yemen
🇾🇹,&#127486&#127481,Mayotte
🇿🇦,&#127487&#127462,South Africa
🇿🇲,&#127487&#127474,Zambia
🇿🇼,&#127487&#127484,Zimbabwe
🏴󠁧󠁢󠁥󠁮󠁧󠁿,&#127988&#917607&#917602&#917605&#917614&#917607&#917631,England
🏴󠁧󠁢󠁳󠁣󠁴󠁿,&#127988&#917607&#917602&#917619&#917603&#917620&#917631,Scotland
🏴󠁧󠁢󠁷󠁬󠁳󠁿,&#127988&#917607&#917602&#917623&#917612&#917619&#917631,Wales
