Year,Yellow,Points,KOM,White,Team,Combativity
1903,Maurice Garin,,,,,
1904,Henri Cornet,,,,,
1905,Louis Trousselier,,,,,
1906,René Pottier,,,,,
1907,Lucien Petit-Breton,,,,,
1908,Lucien Petit-Breton,,,,,
1909,François Faber,,,,,
1910,Octave Lapize,,,,,
1911,Gustave Garrigou,,,,,
1912,Odile Defraye,,,,,
1913,Philippe Thys,,,,,
1914,Philippe Thys,,,,,
1919,Firmin Lambot,,,,,
1920,Philippe Thys,,,,,
1921,Léon Scieur,,,,,
1922,Firmin Lambot,,,,,
1923,Henri Pélissier,,,,,
1924,Ottavio Bottecchia,,,,,
1925,Ottavio Bottecchia,,,,,
1926,Lucien Buysse,,,,,
1927,Nicolas Frantz,,,,,
1928,Nicolas Frantz,,,,,
1929,Maurice De Waele,,,,,
1930,André Leducq,,,,France,
1931,Antonin Magne,,,,Belgium,
1932,André Leducq,,,,Italy,
1933,Georges Speicher,,Vicente Trueba,,France,
1934,Antonin Magne,,René Vietto,,France,
1935,Romain Maes,,Félicien Vervaecke,,Belgium,
1936,Sylvère Maes,,Julián Berrendero,,Belgium,
1937,Roger Lapébie,,Félicien Vervaecke,,France,
1938,Gino Bartali,,Gino Bartali,,Belgium,
1939,Sylvère Maes,,Sylvère Maes,,Belgium B[a],
1947,Jean Robic,,Pierre Brambilla,,Italy,
1948,Gino Bartali,,Gino Bartali,,Belgium A[a],
1949,Fausto Coppi,,Fausto Coppi,,Italy A[a],
1950,Ferdinand Kübler,,Louison Bobet,,Belgium A[a],
1951,Hugo Koblet,,Raphaël Géminiani,,France,
1952,Fausto Coppi,,Fausto Coppi,,Italy,
1953,Louison Bobet,Fritz Schär,Jesús Loroño,,Netherlands,Wout Wagtmans
1954,Louison Bobet,Ferdinand Kübler,Federico Bahamontes,,Switzerland,Lucien Lazaridès
1955,Louison Bobet,Stan Ockers,Charly Gaul,,France,Charly Gaul
1956,Roger Walkowiak,Stan Ockers,Charly Gaul,,Belgium,André Darrigade
1957,Jacques Anquetil,Jean Forestier,Gastone Nencini,,France,Nicolas Barone
1958,Charly Gaul,Jean Graczyk,Federico Bahamontes,,Belgium,Federico Bahamontes
1959,Federico Bahamontes,André Darrigade,Federico Bahamontes,,Belgium,Gérard Saint
1960,Gastone Nencini,Jean Graczyk,Imerio Massignan,,France,Jean Graczyk
1961,Jacques Anquetil,André Darrigade,Imerio Massignan,,France,Team award
1962,Jacques Anquetil,Rudi Altig,Federico Bahamontes,,Saint-Raphaël–Helyett–Hutchinson,Eddy Pauwels
1963,Jacques Anquetil,Rik Van Looy,Federico Bahamontes,,Saint-Raphaël–Gitane–R. Geminiani,Rik Van Looy
1964,Jacques Anquetil,Jan Janssen,Federico Bahamontes,,Pelforth–Sauvage–Lejeune,Henry Anglade
1965,Felice Gimondi,Jan Janssen,Julio Jimenez,,Kas–Kaskol,Felice Gimondi
1966,Lucien Aimar,Willy Planckaert,Julio Jimenez,,Belgium B[a],Rudi Altig
1967,Roger Pingeon,Jan Janssen,Julio Jimenez,,France,Désiré Letort
1968,Jan Janssen,Franco Bitossi,Aurelio Gonzalez,,Belgium A[a],Roger Pingeon
1969,Eddy Merckx,Eddy Merckx,Eddy Merckx,,Italy A[a],Eddy Merckx
1970,Eddy Merckx,Walter Godefroot,Eddy Merckx,,Belgium A[a],Eddy Merckx
1971,Eddy Merckx,Eddy Merckx,Lucien Van Impe,,Bic,Luis Ocaña
1972,Eddy Merckx,Eddy Merckx,Lucien Van Impe,,Gan–Mercier–Hutchinson,Cyrille Guimard
