,location,coordinates,country
0,Lac de Madine,"(5.749502258220149, 48.91700605)",France
1,Stuttgart,"(9.1800132, 48.7784485)",Deutschland
2,Culoz,"(5.785315423820098, 45.8556974)",France
3,Saint-Jean-de-Monts,"(-2.0588889, 46.7936111)",France
4,Épernay,"(3.9528655, 49.042561)",France
5,Saint Germain en Laye,"(2.0917742569617808, 48.93560465)",France
6,Porto-Vecchio,"(9.2794469, 41.5911382)",France
7,Pla d'Adet,"(0.2947084, 42.8125539)",France
8,Mont Saint-Michel,"(-1.511459954959514, 48.6359541)",France
9,Laissac-Sévérac-l'Église,"(2.8387050307962705, 44.36917755)",France
10,Revel,"(24.7453688, 59.4372155)",Eesti
11,Charleroi,"(4.4436244, 50.4120332)",België / Belgique / Belgien
12,Verviers,"(5.867828, 50.59324)",België / Belgique / Belgien
13,Poitiers,"(0.340196, 46.5802596)",France
14,Clermont-Ferrand,"(3.0819427, 45.7774551)",France
15,Tallard,"(6.0553735, 44.4634515)",France
16,Loudun,"(0.081826, 47.0102263)",France
17,Limoges,"(1.2644847, 45.8354243)",France
18,Pornic,"(-2.1040102, 47.1152695)",France
19,Carnon-Plage,"(3.9884082090075825, 43.5469335)",France
20,Saint-Omer,"(2.2534183, 50.7515771)",France
21,Brasschaat,"(4.4917295, 51.2900693)",België / Belgique / Belgien
22,Figeac,"(2.0324321, 44.6092335)",France
23,Bern,"(7.4514512, 46.9482713)",Schweiz/Suisse/Svizzera/Svizra
24,Courchevel,"(6.6349892, 45.4140984)",France
25,Blagnac,"(1.37799, 43.6434)",France
26,Reims,"(4.031926, 49.2577886)",France
27,Sestrières,"(6.8786855, 44.9584528)",Italia
28,Caen,"(-0.3635615, 49.1813403)",France
29,Morzine Avoriaz,"(6.7702857, 46.1925439)",France
30,Joinville,"(5.1377537, 48.4433253)",France
31,Metz,"(6.1763552, 49.1196964)",France
32,Pau,"(-0.3685668, 43.2957547)",France
33,Vesoul,"(6.1544694, 47.6197395)",France
34,Ancenis,"(-1.1816088, 47.3648141)",France
35,Nevers,"(3.1577203, 46.9876601)",France
36,Wasquehal,"(3.1312447, 50.6691577)",France
37,Aulnay-sous-Bois,"(2.499789, 48.934231)",France
38,Cambrai,"(3.2356613, 50.1759602)",France
39,Girona,"(2.8199439, 41.9793006)",España
40,Barcelona,"(2.1774322, 41.3828939)",España
41,Aurillac,"(2.4433101, 44.9285441)",France
42,Pamplona,"(-1.6442556, 42.8184538)",España
43,Obernai,"(7.4864338937215855, 48.454713999999996)",France
44,Nogent-sur-Oise,"(2.4676727, 49.2744711)",France
45,Argentan,"(-0.0223695, 48.7428859)",France
46,Bazas,"(-0.2126009, 44.4320456)",France
47,La Ferté-sous-Jouarre,"(3.1294221, 48.9500674)",France
48,Rungis,"(2.3472665, 48.7484048)",France
49,Boulogne-Billancourt,"(2.240206, 48.8356649)",France
50,Argelès-Gazost,"(-0.0997681, 43.00511)",France
51,Lannemezan,"(0.384241, 43.1252298)",France
52,Chaumeil,"(1.8808583, 45.4555541)",France
53,Laval,"(-0.7734022, 48.0706687)",France
54,Morlaix,"(-3.8331972, 48.5824932)",France
55,Saint-Germain-en-Laye,"(2.0917742569617808, 48.93560465)",France
56,Arbois,"(5.7727504, 46.9032246)",France
57,Col d'Izoard,"(6.7350408, 44.8200267)",France
58,Geneva,"(6.1466014, 46.2017559)",Schweiz/Suisse/Svizzera/Svizra
59,San Sebastián,"(-1.9838889, 43.3224219)",España
60,Luçon,"(-1.1645595, 46.4555953)",France
61,Karlsruhe,"(8.4034195, 49.0068705)",Deutschland
62,Châlons-sur-Marne,"(4.3628851, 48.9566218)",France
63,Lézignan-Corbières,"(2.7574981, 43.2008841)",France
64,Jaca,"(-0.549372, 42.5692515)",España
65,Alès,"(4.0852818, 44.1253665)",France
66,Gueugnon,"(4.0633825, 46.6005232)",France
67,Le Puy-en-Velay,"(3.8855537, 45.0459739)",France
68,Sceaux,"(4.021844858050334, 47.514728500000004)",France
